HomeTeam,AwayTeam,Date,Time,League
Paris,Monaco,2026-04-10,19:00,Ligue 1
Olympique Marsiglia,Metz,2026-04-10,21:05,Ligue 1
Auxerre,Nantes,2026-04-11,19:00,Ligue 1
Rennes,Angers,2026-04-11,21:05,Ligue 1
Nizza,Le Havre,2026-04-12,17:15,Ligue 1
Tolosa,Lilla,2026-04-12,17:15,Ligue 1
Lione,Lorient,2026-04-12,20:45,Ligue 1
Real Madrid,Bayern Monaco,2026-04-08,21:00,Champions League
Sporting,Arsenal,2026-04-08,21:00,Champions League
Barcellona,Atletico Madrid,2026-04-09,21:00,Champions League
PSG,Liverpool,2026-04-09,21:00,Champions League
Braga,Betis,2026-04-09,18:45,Europa League
Friburgo,Celta Vigo,2026-04-09,21:00,Europa League
Bologna,Aston Villa,2026-04-09,21:00,Europa League
Porto,Nottingham Forest,2026-04-09,21:00,Europa League
Augsburg,Hoffenheim,2026-04-10,20:30,Bundesliga
Wolfsburg,Eintracht,2026-04-11,15:30,Bundesliga
RB Lipsia,Borussia M'Gladbach,2026-04-11,15:30,Bundesliga
Borussia Dortmund,Leverkusen,2026-04-11,15:30,Bundesliga
Heidenheim,Union Berlino,2026-04-11,15:30,Bundesliga
FC St. Pauli,Bayern Monaco,2026-04-11,18:30,Bundesliga
Colonia,Werder Brema,2026-04-12,15:30,Bundesliga
Stoccarda,Amburgo,2026-04-12,17:30,Bundesliga
Mainz,Friburgo,2026-04-12,19:30,Bundesliga
West Ham,Wolverhampton,2026-04-10,21:00,Premier League
Arsenal,AFC Bournemouth,2026-04-11,13:30,Premier League
Brentford,Everton,2026-04-11,16:00,Premier League
Burnley,Brighton & Hove Albion,2026-04-11,16:00,Premier League
Liverpool,Fulham,2026-04-11,18:30,Premier League
Crystal Palace,Newcastle,2026-04-12,15:00,Premier League
Sunderland,Tottenham,2026-04-12,15:00,Premier League
Nottingham Forest,Aston Villa,2026-04-12,15:00,Premier League
Chelsea,Manchester City,2026-04-12,17:30,Premier League
Manchester United,Leeds,2026-04-13,21:00,Premier League
Real Madrid,Girona,2026-04-10,21:00,La Liga
Real Sociedad,Alavés,2026-04-11,14:00,La Liga
Elche,Valencia,2026-04-11,16:15,La Liga
Barcellona,Espanyol,2026-04-11,18:30,La Liga
Siviglia,Atlético Madrid,2026-04-11,21:00,La Liga
Osasuna,Betis,2026-04-12,14:00,La Liga
Mallorca,Rayo Vallecano,2026-04-12,16:15,La Liga
Celta Vigo,Real Oviedo,2026-04-12,18:30,La Liga
Athletic Club,Villarreal,2026-04-12,21:00,La Liga
Levante,Getafe,2026-04-13,21:00,La Liga
Roma,Pisa,2026-04-10,20:45,Serie A
Torino,Verona,2026-04-11,15:00,Serie A
Cagliari,Cremonese,2026-04-11,15:00,Serie A
Milan,Udinese,2026-04-11,18:00,Serie A
Atalanta,Juventus,2026-04-11,20:45,Serie A
Genoa,Sassuolo,2026-04-12,12:30,Serie A
Parma,Napoli,2026-04-12,15:00,Serie A
Bologna,Lecce,2026-04-12,18:00,Serie A
Como,Inter,2026-04-12,20:45,Serie A
Fiorentina,Lazio,2026-04-13,20:45,Serie A
